CODE;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
HGP142;macrofyten_2014;NL11;;;M1a;129815;475098;;;lijnvormig;;MACFTGBD_MACFTNVO;MACFTGBD;KRW;KRW;HYBI;HYBI;Veen;6480;6480-EAG-1;
MPA190;macrofyten_2014;NL11;;;M10;119134;481566;;;lijnvormig;;MACFTGBD_MACFTNVO;MACFTGBD;KRW;KRW;HYBI;HYBI;Bebouwing;2110;2110-EAG-2;
BLM101;macrofyten_2014;NL11;;;M30;125707;479758;;;lijnvormig;;MACFTGBD_MACFTNVO;;KRW;;HYBI;;Veen;46;2210-EAG-1;
MPA191;macrofyten_2014;NL11;MPA191P;;M10;119098;481026;;;lijnvormig;;MACFTNVO_MPA-PKH-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Bebouwing;2110;2110-EAG-2;
VSP107;macrofyten_2014;NL11;VSP107P;;M3;124271.9225;482276.3637;;;lijnvormig;;DIEPTE-FYCHEM_FYTOPLANKTONABUNDANTIE_MACFTGBD_MACFTNVO_VSP-ZUB-MlnpldrAgr-BC;;Evaluatie_KRW_Onderzoek;;BODCHEM_FYCHEM_HYBI;;Veen;46;2280-EAG-1;
MPA192;macrofyten_2014;NL11;MPA192P;;M10;118400.4967;480419.8942;;;lijnvormig;;MACFTNVO_MPA-PKH-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Bebouwing;2110;2110-EAG-2;
BLM102;macrofyten_2014;NL11;;;M30;126245.5633;479973.7067;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;46;2210-EAG-1;
VSP108;macrofyten_2014;NL11;;;M3;124349;482746;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;2280;2280-EAG-1;
BLM103;macrofyten_2014;NL11;;;M30;126733;480264.7667;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;46;2210-EAG-1;
VEC189;macrofyten_2014;NL11;;;M7b;131687.5617;473388.5917;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Water;48;3000-EAG-3;NL11_1_2
MPA193;macrofyten_2014;NL11;MPA193P;;M10;120142;481153;;;lijnvormig;;MACFTNVO_MPA-PKH-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Bebouwing;2110;2110-EAG-5;
VSP109;macrofyten_2014;NL11;;;M3;125714.1817;482727.6733;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Veen;46;2280-EAG-1;
BLM104;macrofyten_2014;NL11;;;M30;127036.6717;480400.6567;;;lijnvormig;Best benaderbare punt gekozen voor de kop gegevens, zie ook foto 6218 en 6213;MACFTGBD_MACFTNVO;;KRW;;HYBI;;Bebouwing;2210;2210-EAG-1;
VSP110;macrofyten_2014;NL11;VSP110P;;M3;125986.4967;482906.9267;;;lijnvormig;;MACFTGBD_MACFTNVO_VSP-ZUB-MlnpldrAgr-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Veen;2280;2280-EAG-1;
BLM105;macrofyten_2014;NL11;;;M30;127167.3283;480483.9783;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;46;2210-EAG-1;
VSP111;macrofyten_2014;NL11;;;M3;125779;482716;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Veen;2280;2280-EAG-1;
