CODE;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
AAA001;tussen Groot en Klein Ruwiel;NL11;;;M6b;127008;465322;;;lijnvormig;;FYTPTKRW_MACEVKRW_MACFTKRW_Overig-fychem_ZOOPTGBD;;KRW_Onderzoek;;FYCHEM_HYBI;;Zware zavel;2000;2000-EAG-7;NL11_1_1
AAA100;mp macrofauna;NL11;;;M6b;126671;465746;;;lijnvormig;;MACEVKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
ABA001;Angstel te Braambrugge;NL11;;;M6b;127887;473251;;;lijnvormig;;DROOG_MACFTKRW_Overig-fychem_ROUTINE;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Zware zavel;2000;2000-EAG-4;NL11_1_1
ABC001;Abcoudermeer zwembad;NL11;;;M6b;126336;476789;;;lijnvormig;;Overig-fychem_ZWEM;;Onderzoek_Zwemwater;;FYCHEM;;Water;46;2000-EAG-4;NL11_1_1
ABC002;ten Z.voorm zwembad, einde weg;NL11;ABC002P;;M6b;126358;476723;;;lijnvormig;;ADHOC_BEDWAT_DIEPTE-FYCHEM_EXTZWEM_FYTOPLANKTONABUNDANTIE_FYTPTKRW_KRWOndCHEM_MACFTGBD_MAC;;Evaluatie_KRW_Onderzoek_VMplassen_Zwemwater;;FYCHEM_HYBI;;Veen;2000;2000-EAG-4;NL11_1_1
ABC003;sloot ten noordwesten van Waterlelie;NL11;;;M1a;126744;476675;;;lijnvormig;;NAB;;Evaluatie;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ABC004;sloot naast dr. Sloetlaan bij brug;NL11;;;M8;126544;475622;;;lijnvormig;;NAB_ROUTPEBS-WGP;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;2410;2410-EAG-2;
ABC005;Koppeldijk;NL11;;;M8;126742;475699;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Bebouwing;46;2410-EAG-3;
ABC006;paadje achter van Voorthuijsenhof;NL11;;;M8;126234;475832;;;lijnvormig;;PWH-WGP_ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Zware klei;2410;2410-EAG-2;
ABC007;Janshof 35-74;NL11;;;M8;126279;476244;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2410-EAG-2;
ABC008;Torenlaan;NL11;;;M8;126539;475988;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Bebouwing;2410;2410-EAG-2;
ABC009;Ruwelspad;NL11;;;M1a;126537;476881;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Veen;46;2230-EAG-2;
ABC010;Zilverschoon;NL11;;;M1a;126752;476610;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;2230;2230-EAG-2;
ABC011;Ereprijs;NL11;;;M1a;126891;476720;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ADM001;nieuwe vaart;NL11;;;M6b;124549;486698;;;lijnvormig;;historieMACEV_historieMACFT_Overig-fychem_ROUTINE;;Evaluatie_Onderzoek;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-4;NL11_2_1
ADM002;j.v.hasseltkanaal;NL11;;;;122045;489850;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;;;
ADM003;Van Tienhovengr.Plein 40-45;NL11;;;M6b;116514;488004;;;lijnvormig;;Overig-fychem_ROUTINE;;Evaluatie_Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM004;Oude Kerksplein;NL11;;;M6b;121710;487444;;;lijnvormig;;historieDIAT_historieFYTPT_historieMACEV_historieMACFT_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWT;;Evaluatie_KRW_Onderzoek_Watergebiedsplannen;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM005;zijkanaal 1 klaprozenbrug;NL11;;;;121812;490516;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;;;
ADM006;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;125296;486682;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM007;Onderz stadswater Adam mei/jun 1992;NL11;;;;122652;487935;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;;;
ADM008;Pr. Hendrikkade/Oude Schans;NL11;;;M6b;122338;487301;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-3;NL11_2_1
ADM009;Onderz stadswater Adam mei/jun 1994;NL11;;;M6b;121886;486381;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM010;Kruizing Keizersgracht / Molenpad thv peperbus (repr voor stadsboezem);NL11;ADM010P;;M6b;120755;486720;;;lijnvormig;;ADHOC_BEDWAT_DIEPTE-FYCHEM_historieMACEV_historieMACFT_KRWOndCHEM_Overig-fychem_PESTBOEZ_RO;;Evaluatie_KRW_Onderzoek_VMboezem_Watergebiedsplannen;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM011;brouwersgracht hoek singel;NL11;;;M6b;121386;488011;;;lijnvormig;;historieMACEV_historieMACFT_MACFTGBD_MACFTKRWOM_MACFTKRWTT_ROUTINE;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM012;schinkel vlietstraat;NL11;;;M6b;118514;484707;;;lijnvormig;;MACEVKRWTT_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_ROUTINE_VASTSTED;;Evaluatie_KRW;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM013;kostverlorenvaart/slatuinenw;NL11;;;M6b;119358;486920;;;lijnvormig;;ROUTINE;;Evaluatie;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM014;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;121049;487945;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM015;Onderz stadswater Adam 1992;NL11;;;;120209;486725;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;
ADM016;Magere Brug over de Amstel (repr voor stadsboezem);NL11;;;M6b;121977;486291;;;lijnvormig;;ADHOC_BEDWAT_DIEPTE-FYCHEM_historieMACEV_KRWOCHEM_KRWOndCHEM_KRWPROB_KRWPROBSC_P-speciaties;DIEPTE-FYCHEM_KRWOCHEM_KRWOndCHEM_KRWPROB_VASTBOEZ_ZWEMCitySwim;Evaluatie_KRW_Onderzoek_VMboezem_Zwemwater;KRW_VMboezem_Zwemwater;FYCHEM_HYBI;FYCHEM;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM017;Onderz stadswater Adam 1992;NL11;;;;120209;486725;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;
ADM018;Stadiongracht 2013;NL11;;;M6b;118874;484515;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM019;Nieuwe Achtergracht 100;NL11;;;M6b;122377;486180;;;lijnvormig;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_Overig-fychem;;KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM020;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;122551;486240;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM021;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;122498;486933;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM022;Oude Schans bij Oude Waal;NL11;;;M6b;122202.2063;487230.8989;;;lijnvormig;;FYTOPLANKTONABUNDANTIE_FYTPTKRW_FYTPTKRWTT_MACEVKRW_MACEVKRWTT_MACFTGBD_MACFTKRW_MACFTKRWOM,;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-3;NL11_2_1
ADM023;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;121553;486729;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;45;1000-EAG-1;NL11_2_1
ADM024;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;120341;486598;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM025;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;120622;486646;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM026;Lozingskanaal/Veelaan;NL11;;;M6b;124493;486619;;;lijnvormig;;FYTOPLANKTONABUNDANTIE_FYTPTKRW_FYTPTKRWTT_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_Overig-fy;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-4;NL11_2_1
ADM027;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;120915;486877;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM028;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;119763;487617;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM029;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;120345;487995;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM030;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;120698;488852;;;lijnvormig;;ADHOC_BEDWAT_KRWOCHEM_KRWPROB_Overig-fychem;;Evaluatie_KRW_Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM031;Erasmusgracht in gracht;NL11;;;M6b;118696;487770;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM032;Erasmusgracht in ontvangbassin;NL11;;;M6b;118866;487790;;;lijnvormig;;ERAS_Overig-fychem;;Evaluatie_Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-2;NL11_2_1
ADM033;Erasmusgracht vol. Prop HLFF influent;NL11;;;M6b;119396;487643;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM034;Erasmusgracht vol. Prop HLFF bezonken influ;NL11;;;M6b;118214;487636;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-2;NL11_2_1
ADM035;Erasmusgracht vol.prop HLFF effluent;NL11;;;;118369;486797;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;
ADM036;Erasmusgracht aan uitstroomkant helofytenfilter;NL11;;;M6b;118795.4708;487770.4396;;;lijnvormig;;ERAS;;Evaluatie;;FYCHEM;;Bebouwing;1000;1000-EAG-2;NL11_2_1
ADM037;Onderz stadswater Adam mei/jun 1991 Oudezijdskolk;NL11;;;M6b;121843;487637;;;lijnvormig;;ADHOC_Overig-fychem;;Evaluatie_Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-1;NL11_2_1
ADM038;Bloemgracht_westelijk deel;NL11;;;M6b;120400;487508;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM039;Buffer Zuid helofytenveld Zeeburg;NL11;;;M6b;125558;486400;;;lijnvormig;;HFZEEB;;Evaluatie;;FYCHEM;;Water;2000;2000-EAG-1;NL11_1_1
ADM040;Buffer Noord helofytenveld Zeeburg;NL11;;;M11;125487;486500;;;lijnvormig;;HFZEEB;;Evaluatie;;FYCHEM;;Bebouwing;46;2020-EAG-1;
ADM041;Siervijver t.o. bejaardenhuis;NL11;;;M11;125057;486400;;;lijnvormig;;HFZEEB;;Evaluatie;;FYCHEM;;Bebouwing;2020;2020-EAG-1;
ADM042;Nieuwendammerdijk;NL11;;;M30;124828;488996;;;lijnvormig;;ADMNRD-WGP_WAN;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;43;6000-EAG-10;
ADM043;Kometensingel westzijde;NL11;;;M3;121448;491798;;;lijnvormig;;ADHOC_BEDWAT_EMISSIES_MACFTGBD_MIJ_VASTINLA;;Evaluatie_KRW_VMinlaatwater;;FYCHEM_HYBI;;Bebouwing;6110;6110-EAG-1;
ADM044;Niewendammerdijk N-zijde Vliegenbos;NL11;;;M30;124086.8016;489368.6103;;;lijnvormig;;EMISSIES_MIJ;;Evaluatie;;FYCHEM;;Bebouwing;6000;6000-EAG-10;
ADM054;Erasmusgracht effluent west;NL11;;;;118369;486797;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-2;
ADM055;Erasmusgracht effluent oost;NL11;;;;118369;486797;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;
ADM056;Bilderdijkkade t.p.v. floatlands;NL11;;;M6b;119772;486787;;;lijnvormig;;historieMACFT_MACFTGBD_MACFTKRWOM_MACFTKRWTT_ROUTINE;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM057;Cramersluis op hoek vd Pollstraat;NL11;;;M6b;117368;487737;;;lijnvormig;;ADHOC_ADMWEST-WGP_BEDWAT;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM058;de Roos van Dekamaweg t.o. nr. 40;NL11;;;M6b;117757.1438;488537.9688;;;lijnvormig;;ADHOC_ADMWEST-WGP_BEDWAT;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;1000;1000-EAG-1;
ADM059;Heemstedesluis eind vd steiger;NL11;;;M6b;117851;485048;;;lijnvormig;;ADHOC_ADMWEST-WGP_BEDWAT;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM060;Valmschermkade, inlaat Riekerhaven in de hoek;NL11;;;M6b;117944;484004;;;lijnvormig;;ADHOC_ADMWEST-WGP_BEDWAT_DIEPTE-FYCHEM_KRWOndCHEM_VASTINLA;DIEPTE-FYCHEM_KRWOndCHEM_VASTINLA;Evaluatie_KRW_VMinlaatwater_Watergebiedsplannen;KRW_VMinlaatwater;FYCHEM;FYCHEM;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM100;mp macrofauna;NL11;;;M6b;117132;487844;;;lijnvormig;;KRWPROBSC_MACEVKRW_MACEVKRWTT_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;FYCHEM_HYBI;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM101;mp macrofauna;NL11;;;M6b;122762;483600;;;lijnvormig;;MACEVKRW_MACFTKRW;;KRW;;HYBI;;Bebouwing;2000;2000-EAG-2;NL11_1_1
ADM102;mp macrofauna;NL11;;;M6b;125040.1323;486635.3156;;;lijnvormig;;MACEVKRW_MACEVKRWTT_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Bebouwing;45;1000-EAG-4;NL11_2_1
AMK001;brug van Hillegaertstraat;NL11;;;M6b;120881;484795;;;lijnvormig;;ROUTINE;;Evaluatie;;FYCHEM;;Bebouwing;2000;2000-EAG-1;NL11_1_1
AMS001;amstel tolhuissluizen;NL11;;;M6b;110462;469019;;;lijnvormig;;DIEPTE-FYCHEM_DROOG_Overig-fychem_VASTBOEZ;;Evaluatie_Onderzoek_VMboezem;;FYCHEM;;Water;46;2000-EAG-6;NL11_1_1
AMS002;amstel brug vrouwenakker, mp macrofauna;NL11;;;M6b;113843;471354;;;lijnvormig;;ADHOC_BELEID_DIEPTE-FYCHEM_DROOG_EXTZWEM_KRWOndCHEM_MACEVKRW_Overig-fychem_ROUTINE_VASTBOE;DIEPTE-FYCHEM_KRWOndCHEM_VASTBOEZ;Evaluatie_KRW_Onderzoek_VMboezem_Watergebiedsplannen_Zwemwater;KRW_VMboezem;FYCHEM_HYBI;FYCHEM;Veen;2000;2000-EAG-6;NL11_1_1
AMS003;amstel brug provincialeweg uithoorn;NL11;AMS003P;;M6b;117001;471590;;;lijnvormig;;BEDWAT_BELEID_DIEPTE-FYCHEM_DROOG_FYTOPLANKTONABUNDANTIE_FYTPTKRW_KRWOCHEM_KRWOndCHEM_KRWPR;;Evaluatie_KRW_Onderzoek_VMboezem;;FYCHEM_HYBI_TOX;;Bebouwing;46;2000-EAG-6;NL11_1_1
AMS004;amstel pontveer nessersluis;NL11;;;M6b;119548;473815;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Zware klei;2000;2000-EAG-6;NL11_1_1
AMS005;amstel t.o. amstelhoep km paal 13.9;NL11;AMS005P;;M6b;120475;475186;;;lijnvormig;;ADHOC_BEDWAT_BELEID_DIEPTE-FYCHEM_EXTZWEM_FYTOPLANKTONABUNDANTIE_FYTPTKRW_KRWOCHEM_KRWOndC;;Evaluatie_KRW_VMboezem_Zwemwater;;FYCHEM_HYBI;;Water;2000;2000-EAG-5;NL11_1_1
AMS006;amstel zwarte kat t.o. nr 104;NL11;;;M6b;120334;476690;;;lijnvormig;;DROOG_MACFTNVO_Overig-fychem;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Water;2000;2000-EAG-5;NL11_1_1
AMS007;amstel brug rijksweg a9;NL11;;;M6b;121144;478581;;;lijnvormig;;ADHOC_BEDWAT_DIEPTE-FYCHEM_EXTZWEM_KRWOndCHEM_Overig-fychem_VASTINLA_ZOOPTGBD;DIEPTE-FYCHEM_EXTZWEM_KRWOndCHEM_VASTINLA;Evaluatie_KRW_Onderzoek_VMinlaatwater_Zwemwater;KRW_VMinlaatwater_Zwemwater;FYCHEM_HYBI;FYCHEM;Water;2000;2000-EAG-5;NL11_1_1
AMS008;amstel brug prov.weg ouderkerk;NL11;;;M6b;121661;479118;;;lijnvormig;;AMSNRD_BELEID_DROOG_FYTPTGBD_ROUTINE_ZOOPTGBD;;Evaluatie_KRW;;FYCHEM_HYBI;;Zware klei;46;2000-EAG-2;NL11_1_1
AMS009;amstel 500m-n.gemaal middelpolder;NL11;;;M6b;122120;480999;;;lijnvormig;;DIEPTE-FYCHEM_KRWOndCHEM_Overig-fychem_VASTBOEZ_ZOOPTGBD;;KRW_Onderzoek_VMboezem;;FYCHEM_HYBI;;Water;2000;2000-EAG-2;NL11_1_1
AMS010;amstel t.o. nr. 319/ten Z A10;NL11;AMS010P;;M6b;121688;482650;;;lijnvormig;;ADHOC_BEDWAT_BELEID_DIEPTE-FYCHEM_FYTOPLANKTONABUNDANTIE_FYTPTKRW_KRWOCHEM_KRWOndCHEM_KRWP;;Evaluatie_KRW_Onderzoek_VMboezem;;FYCHEM_HYBI;;Water;46;2000-EAG-2;NL11_1_1
AMS011;amstel berlagebrug;NL11;;;M6b;122624;484495;;;lijnvormig;;BELEID_PESTBOEZ_ROUTINE;;Evaluatie;;FYCHEM;;Bebouwing;2000;2000-EAG-1;NL11_1_1
AMS012;Amstel Ringspoordijk;NL11;;;M6b;121726;482940;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;46;2000-EAG-2;NL11_1_1
AMS013;Amstel bij molen;NL11;;;M6b;121434;481937;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;2000;2000-EAG-2;NL11_1_1
AMS014;Amstel ten Z. AMS010;NL11;;;M6b;121649;481607;;;lijnvormig;;DROOG_MACFTKRW;;Evaluatie_KRW;;FYCHEM_HYBI;;Water;2000;2000-EAG-2;NL11_1_1
AMS016;Nessersluis_ waar oude Waver in Amstel stroomt;NL11;;;M6b;119696;474039;;;lijnvormig;;BELEID_DROOG;;Evaluatie;;FYCHEM;;Water;2000;2000-EAG-5;NL11_1_1
AMS020;Amstel ca 300m t.Z.v. AMS03;NL11;;;M6b;116736;471471;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Veen;46;2000-EAG-6;NL11_1_1
AMS021;Amstel ca 400m t.Z.v. Pontveer Nessersluis;NL11;;;M6b;119054;473464;;;lijnvormig;;BGMZ_Overig-fychem_PEB_TOX_SIMONI_PS;;Evaluatie_Onderzoek;;FYCHEM_TOX;;Water;2000;2000-EAG-6;NL11_1_1
AMS100;mp fytobenthos;NL11;;;M6b;114871.4444;471112.8894;;;lijnvormig;;FYTPTGBD_FYTPTKRW;;KRW;;HYBI;;Water;46;2000-EAG-6;NL11_1_1
AMS101;mp fytobenthos, macrofauna;NL11;;;M6b;120449.825;476033.5104;;;lijnvormig;;FYTPTGBD_FYTPTKRW_MACEVKRW_MACFTKRW;;KRW;;HYBI;;Water;2000;2000-EAG-5;NL11_1_1
AMS102;mp macrofauna;NL11;;;M6b;118412.2856;472841.2375;;;lijnvormig;;MACEVKRW;;KRW;;HYBI;;Veen;46;2000-EAG-6;NL11_1_1
AMS103;mp macrofauna;NL11;;;M6b;121821;481584;;;lijnvormig;;MACEVKRW;;KRW;;HYBI;;Water;2000;2000-EAG-2;NL11_1_1
ANG001;Angstel, Slot Loenersloot;NL11;;;M6b;128417;471311;;;lijnvormig;;ADHOC_BEDWAT_DIEPTE-FYCHEM_DROOG_EXTZWEM_FYTOPLANKTONABUNDANTIE_FYTPTKRW_FYTPTKRWOM_KRWOCH;DIEPTE-FYCHEM_EXTZWEM_KRWOndCHEM_VASTBOEZ;Evaluatie_KRW_VMboezem_Zwemwater;KRW_VMboezem_Zwemwater;FYCHEM_HYBI;FYCHEM;Zware zavel;46;2000-EAG-4;NL11_1_1
ANG002;Angstel, steiger bij Popta;NL11;ANG002P;;M6b;127041.7775;475089.9525;;;lijnvormig;;BBO-WGP_DIEPTE-FYCHEM_KRWOndCHEM_PBO_VASTBOEZ_WAARDHOL;;Evaluatie_KRW_VMboezem_Watergebiedsplannen;;FYCHEM;;Zware klei;2000;2000-EAG-4;NL11_1_1
ANG003;Angstel,ten Z S201+B296;NL11;;;M6b;128154;470777;;;lijnvormig;;DROOG;;Evaluatie;;FYCHEM;;Zware klei;2000;2000-EAG-4;NL11_1_1
ANG004;Angstel in hoek van Oude Dijk en weg Lange Coupure;NL11;;;M6b;127306;475546;;;lijnvormig;;DROOG;;Evaluatie;;FYCHEM;;Zware klei;46;2000-EAG-4;NL11_1_1
ANG005;in boezem bij gemaal Lange Coupure;NL11;;;M6b;127710;474614;;;lijnvormig;;DROOG;;Evaluatie;;FYCHEM;;Zware klei;2000;2000-EAG-4;NL11_1_1
ANG006;in boezem t.o. HSV001;NL11;;;M6b;127884;469758;;;lijnvormig;;DROOG;;Evaluatie;;FYCHEM;;Zware klei;46;2000-EAG-4;NL11_1_1
ANG100;mp fytobenthos, macrofauna;NL11;;;M6b;128220;472061;;;lijnvormig;;FYTPTGBD_FYTPTKRW_MACEVKRW;;KRW;;HYBI;;Zware zavel;2000;2000-EAG-4;NL11_1_1
ANG101;mp macrofauna;NL11;;;M8;127147.0981;475702.1936;;;lijnvormig;;VASTECOMACEV;;;;HYBI;;Bebouwing;46;2000-EAG-4;NL11_1_1
ANG102;mp macrofauna;NL11;;;M6b;127927.0842;469659.1492;;;lijnvormig;;MACEVKRW_MACFTKRW;;KRW;;HYBI;;Zware klei;2000;2000-EAG-4;NL11_1_1
ARK001;ARK bij inlaat Baambrugge oostzijds oost;NL11;;;;129838.3025;476136.7775;;;lijnvormig;;BBO-WGP_PBO;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Water;;;
ARK002;ARK bij inlaat Holl.St.Voorb.West;NL11;;;;128265.3867;466988.7192;;;lijnvormig;;HSV-WGP;;Watergebiedsplannen;;FYCHEM;;Zware zavel;;;
AVO001;voor noordelijk gemaal;NL11;;;;130242;479588;;;lijnvormig;;ADHOC_BEDWAT_Overig-fychem_VASTGEMA_WEESP-WGP;;Evaluatie_Onderzoek_VMgemalen_Watergebiedsplannen;;FYCHEM;;Bebouwing;;;
AVO002;Fijvandraatlaan/Dotingalaan;NL11;;;M1a;131897;479297;;;lijnvormig;;Overig-fychem_ROUTPEBS-WGP;;Onderzoek_Watergebiedsplannen;;FYCHEM;;Lichte klei;64;6540-EAG-3;
AVO003;Reigersweide bocht;NL11;;;M1a;131792;479033;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Lichte klei;6540;6540-EAG-3;
AVO004;Mouterspad;NL11;;;M1a;131336;478944;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Lichte klei;64;6540-EAG-3;
AVO005;De Hofstee;NL11;;;M1a;131536;479190;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Lichte klei;6540;6540-EAG-3;
AVO006;Gooilandseweg thv Aetsveld;NL11;;;M1a;131176;479406;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Lichte klei;64;6540-EAG-3;
AVO007;beatrixlaan 37 weesp;NL11;;;M1a;130820.7938;479900.2026;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;6540;6540-EAG-3;
AVO008;Gooilandse weg De Horn;NL11;;;M1a;133248;478384;;;lijnvormig;;AVO-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;64;6540-EAG-1;
AVO009;hfdwatergang ZW v Gooilandseweg;NL11;;;M1a;132308;478293;;;lijnvormig;;AVO-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;6540;6540-EAG-1;
AVO010;oost van Aetsveldse weg;NL11;;;M1a;131612.5953;478303.9603;;;lijnvormig;;AVO-WGP_WEESP-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;64;6540-EAG-1;
AVO011;west van Aetsveldse weg;NL11;;;M1a;131291;478264;;;lijnvormig;;AVO-WGP_DIEPTE-FYCHEM_FYTOPLANKTONABUNDANTIE_FYTPTOZ_MACFTGBD_MACFTOZ_VASTECOMACFT;MACFTOZ;Evaluatie_KRW_Onderzoek_Watergebiedsplannen;Onderzoek;FYCHEM_HYBI;HYBI;Lichte klei;6540;6540-EAG-1;
AVO012;bij zwembad Weesp;NL11;;;M1a;130550;478928;;;lijnvormig;;AVO-WGP_MACFTGBD_VASTECOMACEV_VASTECOMACFT;;KRW_Watergebiedsplannen;;FYCHEM_HYBI;;Lichte klei;64;6540-EAG-1;
AVO013;einde weg langs Breevecht;NL11;;;M1a;130576.6031;477289.6747;;;lijnvormig;;AVO-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;6540;6540-EAG-1;
