OBJECTID;GAFIDENT;OSMOMSCH;DGVIDENT;JAARCREA;OPPERVL;OMTREK;DGVTYPE;OPP_EZ_M2;OPP_OW_M2;OPP_TOT_M2;IWS_MEMO;SHAPE_AREA;SHAPE_LEN
3193;2400-EAG-3;Ronde Hoep;2400-DGV-6;0;23687;0;1007;7760;15927;23687;;0.00000000000;0.00000000000
3219;1000-EAG-4;Amstellandboezem;1000-DGV-4;0;181101;0;1008;14808;166305;181113;;0.00000000000;0.00000000000
3221;2000-EAG-2;Amstellandboezem;2000-DGV-4;0;825100;0;1008;40573;784527;825100;;0.00000000000;0.00000000000
3217;1000-EAG-2;Amstellandboezem;1000-DGV-2;0;254225;0;1008;24113;230309;254422;;0.00000000000;0.00000000000
3222;2000-EAG-3;Amstellandboezem;2000-DGV-5;0;283748;0;1008;26337;257411;283748;;0.00000000000;0.00000000000
3218;1000-EAG-3;Amstellandboezem;1000-DGV-3;0;81524;0;1008;9210;72314;81524;;0.00000000000;0.00000000000
3223;2000-EAG-4;Amstellandboezem;2000-DGV-10;0;492144;0;1008;75416;416728;492144;;0.00000000000;0.00000000000
3224;2000-EAG-5;Amstellandboezem;2000-DGV-11;0;831026;0;1008;74834;756192;831026;;0.00000000000;0.00000000000
3226;4000-EAG-4;'s Gravelandse Vaartboezem;4000-DGV-9;0;79074;0;1008;9312;69762;79074;;0.00000000000;0.00000000000
3229;3230-EAG-6;Kortenhoefse Plas;3230-DGV-17;0;450583;0;1008;30895;419689;450584;;0.00000000000;0.00000000000
3225;2000-EAG-7;Amstellandboezem;2000-DGV-13;0;326098;0;1008;56888;269210;326098;;0.00000000000;0.00000000000
3227;4000-EAG-4;'s Gravelandse Vaartboezem;4000-DGV-8;0;94920;0;1008;6047;88873;94920;;0.00000000000;0.00000000000
3228;4000-EAG-6;'s Gravelandse Vaartboezem;4000-DGV-13;0;393119;0;1008;28255;364864;393119;;0.00000000000;0.00000000000
3233;3100-EAG-2;Naardermeer;3100-DGV-4;0;9807;0;1009;9807;0;9807;;0.00000000000;0.00000000000
3231;2550-EAG-2;Botshol;2550-DGV-3;0;19501;0;1009;19501;0;19501;;0.00000000000;0.00000000000
3239;2500-EAG-1;;2500-DGV-14;0;621677;0;1008;101522;520155;621677;;0.00000000000;0.00000000000
3236;3100-EAG-5;Naardermeer;3100-DGV-13;0;5401;0;1009;5401;0;5401;;0.00000000000;0.00000000000
3230;2550-EAG-1;Botshol;2550-DGV-1;0;38936;0;1009;38936;0;38936;;0.00000000000;0.00000000000
3215;2140-EAG-1;;2140-DGV-2;0;109858;0;1007;22710;87148;109858;;0.00000000000;0.00000000000
